Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[9/3/1997, 0.117188, 0.120833, 0.115625, 0.116667, 0.116667,39288000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/4/1997, 0.118229, 0.127604, 0.117188, 0.127604, 0.127604,66960000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/5/1997, 0.129167, 0.133333, 0.122917, 0.125, 0.125,38160000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/8/1997, 0.126563, 0.151042, 0.125, 0.15, 0.15,112968000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/9/1997, 0.157031, 0.169271, 0.151302, 0.161979, 0.161979,179424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/10/1997, 0.165625, 0.166406, 0.15625, 0.165104, 0.165104,77328000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/11/1997, 0.166667, 0.166667, 0.152083, 0.157813, 0.157813,85248000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/12/1997, 0.159375, 0.184896, 0.157813, 0.184375, 0.184375,66672000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/15/1997, 0.183333, 0.183854, 0.152604, 0.154688, 0.154688,111672000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/16/1997, 0.15625, 0.177083, 0.15599, 0.167708, 0.167708,128640000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/17/1997, 0.172917, 0.175, 0.166667, 0.170313, 0.170313,52152000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/18/1997, 0.171875, 0.173438, 0.164063, 0.164583, 0.164583,42576000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/19/1997, 0.16901, 0.204167, 0.16875, 0.197396, 0.197396,178584000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/22/1997, 0.2, 0.233854, 0.197396, 0.225, 0.225,338760000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/23/1997, 0.224479, 0.232292, 0.219792, 0.23125, 0.23125,153648000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/24/1997, 0.232292, 0.240625, 0.214583, 0.21875, 0.21875,164016000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/25/1997, 0.217188, 0.217708, 0.202604, 0.203906, 0.203906,99360000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/26/1997, 0.203646, 0.213021, 0.202604, 0.208333, 0.208333,54624000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/29/1997, 0.207292, 0.209375, 0.197917, 0.202083, 0.202083,47424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[9/30/1997, 0.2, 0.217448, 0.190104, 0.216927, 0.216927,105096000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/1/1997, 0.221875, 0.225, 0.196875, 0.201042, 0.201042,99984000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/2/1997, 0.202083, 0.208854, 0.199479, 0.200521, 0.200521,37536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/3/1997, 0.204167, 0.20625, 0.198958, 0.200781, 0.200781,23280000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/6/1997, 0.2, 0.20625, 0.197135, 0.20625, 0.20625,40560000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/7/1997, 0.204167, 0.209375, 0.202083, 0.202865, 0.202865,34848000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/8/1997, 0.207292, 0.208333, 0.199219, 0.20026, 0.20026,56136000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/9/1997, 0.2, 0.201042, 0.186979, 0.1875, 0.1875,79008000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/10/1997, 0.186458, 0.203125, 0.183333, 0.195052, 0.195052,75744000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/13/1997, 0.196354, 0.202083, 0.196354, 0.2, 0.2,16296000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/14/1997, 0.203125, 0.205208, 0.191667, 0.198958, 0.198958,30936000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/15/1997, 0.198438, 0.198438, 0.188542, 0.196094, 0.196094,47112000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/16/1997, 0.198958, 0.198958, 0.180208, 0.18125, 0.18125,69624000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/17/1997, 0.180729, 0.182813, 0.176042, 0.18125, 0.18125,50688000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/20/1997, 0.183854, 0.19375, 0.183333, 0.191146, 0.191146,98256000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/21/1997, 0.197917, 0.221875, 0.192708, 0.221354, 0.221354,241920000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/22/1997, 0.220833, 0.23099, 0.21875, 0.226042, 0.226042,104160000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/23/1997, 0.211458, 0.228125, 0.209375, 0.225, 0.225,113136000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/24/1997, 0.2375, 0.253125, 0.227083, 0.251302, 0.251302,189840000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/27/1997, 0.240104, 0.250521, 0.211458, 0.213542, 0.213542,121824000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/28/1997, 0.195833, 0.25, 0.19375, 0.247396, 0.247396,234384000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/29/1997, 0.257292, 0.275, 0.25, 0.269531, 0.269531,142536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/30/1997, 0.260417, 0.267708, 0.252083, 0.25625, 0.25625,95400000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[10/31/1997, 0.268229, 0.272917, 0.248438, 0.254167, 0.254167,100536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/3/1997, 0.260938, 0.260938, 0.247396, 0.253646, 0.253646,39984000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/4/1997, 0.25, 0.252604, 0.241146, 0.247917, 0.247917,47304000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/5/1997, 0.248958, 0.25599, 0.24375, 0.24375, 0.24375,61872000]' on port 9999. Hit CTRL-c to stop."
